epoch,auc,binary_accuracy,loss,val_auc,val_binary_accuracy,val_loss
0,0.5045323371887207,0.9335724711418152,0.27170127630233765,0.5502467155456543,0.9310997724533081,0.44538241624832153
1,0.5990505218505859,0.9390130639076233,0.2302226722240448,0.7133410573005676,0.932994544506073,0.30334919691085815
2,0.7562010288238525,0.9396464228630066,0.19992540776729584,0.7623034715652466,0.9283437728881836,0.2583714723587036
3,0.8202629685401917,0.9423477053642273,0.1793408989906311,0.8229594230651855,0.9348893165588379,0.22335247695446014
4,0.8596139550209045,0.9457015991210938,0.1624692678451538,0.8445652723312378,0.9396262168884277,0.1997958868741989
5,0.8794220685958862,0.949971616268158,0.1507471352815628,0.8683754801750183,0.9503057599067688,0.17248336970806122
6,0.8966425657272339,0.9529185891151428,0.14023561775684357,0.8837841153144836,0.9517698884010315,0.16075211763381958
7,0.9080570340156555,0.9548171758651733,0.132221519947052,0.8935733437538147,0.9542675018310547,0.1504431515932083
8,0.9218453764915466,0.9580860137939453,0.12284158915281296,0.8987742066383362,0.9534923434257507,0.14472495019435883
9,0.9316750764846802,0.960296094417572,0.11503396928310394,0.8890199661254883,0.9530618190765381,0.14658032357692719
10,0.9383425712585449,0.9620530009269714,0.10914649069309235,0.9111050367355347,0.9572818875312805,0.1342090368270874
11,0.945773184299469,0.9648494720458984,0.10216479748487473,0.9237047433853149,0.9599515795707703,0.12497790157794952
12,0.9507458806037903,0.9661718606948853,0.09728774428367615,0.9118249416351318,0.9577125310897827,0.12951608002185822
13,0.9576988220214844,0.9688648581504822,0.09093418717384338,0.9269519448280334,0.9602100849151611,0.12202268093824387
14,0.9623236656188965,0.9700731635093689,0.08580192923545837,0.9258541464805603,0.9620187282562256,0.11532619595527649
15,0.9653170108795166,0.9715941548347473,0.08204538375139236,0.9327990412712097,0.965377688407898,0.10771859437227249
16,0.9696527123451233,0.9730679392814636,0.07709098607301712,0.9469613432884216,0.9682198166847229,0.10100157558917999
17,0.9728099703788757,0.9739466309547424,0.07416465878486633,0.9371721148490906,0.9671863317489624,0.10298700630664825
18,0.9759278893470764,0.9758261442184448,0.0688840001821518,0.946844220161438,0.9648607969284058,0.10475469380617142
19,0.978060245513916,0.9768653512001038,0.0661960318684578,0.9390537142753601,0.968305766582489,0.10010313242673874
20,0.981057345867157,0.9783200025558472,0.061633896082639694,0.9394373297691345,0.9673585295677185,0.09897015988826752
21,0.9812769889831543,0.9789060950279236,0.060361459851264954,0.9520042538642883,0.97149258852005,0.09164462238550186
22,0.9836695194244385,0.9800677299499512,0.05595950409770012,0.9474061131477356,0.9714064002037048,0.09183609485626221
23,0.9849090576171875,0.9806910753250122,0.054513294249773026,0.9482780694961548,0.97054523229599,0.09390563517808914
24,0.9856562614440918,0.9821178913116455,0.05137350782752037,0.9508407711982727,0.9701144099235535,0.09203404188156128
25,0.9884976744651794,0.9832135438919067,0.047691069543361664,0.9329272508621216,0.9728705286979675,0.09020671993494034
26,0.9900051355361938,0.983695387840271,0.04547647014260292,0.946241021156311,0.9724400043487549,0.08663897216320038
27,0.9905003905296326,0.9845171570777893,0.043684013187885284,0.9526953101158142,0.9726983308792114,0.0885515809059143
28,0.9917465448379517,0.9852635264396667,0.04108389467000961,0.9442471861839294,0.9737317562103271,0.08964675664901733
29,0.9926733374595642,0.9858587384223938,0.03920828178524971,0.9439646601676941,0.9721815586090088,0.09223135560750961
30,0.9932019710540771,0.9868690967559814,0.036568254232406616,0.9440665245056152,0.9732149243354797,0.08958114683628082
31,0.9924509525299072,0.9863876700401306,0.03864544257521629,0.9518129825592041,0.9757127165794373,0.08452766388654709
32,0.9938846826553345,0.987530529499054,0.03472014144062996,0.9502149224281311,0.9751098155975342,0.09028899669647217
